indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
58,N,New_N_059.wav,10-6-4,0.30799358915645797,126x4,4x212,10,0.0680422873488829,0.3801514797788071,0.012129599999752827,6,0.15923750949270882,0.0893123301994688,0.004075499997270526,4,0.313246986493523,0.09960304261770576,0.003392599999642698
59,N,New_N_060.wav,10-6-4,0.2253364554158991,126x4,4x212,10,0.050465052598335655,0.43573680774161744,0.01225739999790676,6,0.20599901315308017,0.21956524971660177,0.004166599999734899,4,0.3758062178034111,0.1861286187706215,0.004328600000008009
60,N,New_N_061.wav,10-6-4,0.2697750338991824,126x4,4x212,10,0.06082982906275423,0.3906531725060089,0.011195000002771849,6,0.25080417645327857,0.16429937202786973,0.0051045000000158325,4,0.4003923489452483,0.13840786463690635,0.0034362000005785376
61,N,New_N_062.wav,10-6-4,0.20802435245045559,126x4,4x212,10,0.053808490278218116,0.3782823086678945,0.011939599997276673,6,0.2434851016363049,0.1654715748905905,0.004071699997439282,4,0.46963269354951165,0.18972815952475372,0.003543899998476263
62,N,New_N_063.wav,10-6-4,0.34355469487033974,126x4,4x212,10,0.0520852061181652,0.37479878942050554,0.011899599998287158,6,0.1608217228651529,0.10934938426410662,0.0040629000031913165,4,0.3299271044650025,0.10078671971288607,0.0033866000012494624
63,N,New_N_064.wav,10-6-4,0.21253190055495705,126x4,4x212,10,0.0702049182922899,0.41698858484561807,0.010969000002660323,6,0.148052085104461,0.22066428592980242,0.004337200000009034,4,0.32712740157876763,0.17540521369411702,0.004115799998544389
64,N,New_N_065.wav,10-6-4,0.31641144544671745,126x4,4x212,10,0.05321683249633181,0.4352425392112431,0.01157710000188672,6,0.18810047388153064,0.1516985482077689,0.004114700001082383,4,0.34005267228919217,0.14796916948046765,0.0034718999995675404
65,N,New_N_066.wav,10-6-4,0.223229356948083,126x4,4x212,10,0.06061663405983682,0.39978972581344663,0.011621999998169485,6,0.2675127740231703,0.24637525606594574,0.004080700000486104,4,0.36917633587507626,0.17862412756036974,0.0035458999991533346
66,N,New_N_067.wav,10-6-4,0.2758370200750923,126x4,4x212,10,0.0558619098098592,0.4292981133429921,0.011842799998703413,6,0.16002167473584333,0.23205414664870586,0.004101499998796498,4,0.3368914443875721,0.09646990040710081,0.0042037999992317054
67,N,New_N_068.wav,10-6-4,0.20515777984190398,126x4,4x212,10,0.05648289506695582,0.4354619285430951,0.01127269999778946,6,0.22370179668918103,0.2479013716857383,0.004963200000929646,4,0.3830946094957093,0.1788440921254866,0.003435800001170719
68,N,New_N_069.wav,10-6-4,0.21568765708557217,126x4,4x212,10,0.05900828808429117,0.41054069720843295,0.01220630000170786,6,0.3801365442441013,0.2832341281070093,0.004090999998879852,4,0.4074342599211832,0.24433817555131923,0.0034870999988925178
69,N,New_N_070.wav,10-6-4,0.26485476023339183,126x4,4x212,10,0.06312493057972403,0.3240151349324394,0.011897399999725167,6,0.2909134773066801,0.2055673825934896,0.00430659999983618,4,0.3481664122491277,0.13832128039958788,0.0037047999976493884
70,N,New_N_071.wav,10-6-4,0.24376681976529935,126x4,4x212,10,0.06081508918094555,0.43301776601668324,0.011010300000634743,6,0.25328204608448535,0.22170710538245378,0.005913900000450667,4,0.4055731625332753,0.19226419276092546,0.0034608000023581553
71,N,New_N_072.wav,10-6-4,0.24245260514646882,126x4,4x212,10,0.06711324805098745,0.3784322454688845,0.012209999997139676,6,0.23097243927609304,0.25244697851179193,0.004091599999810569,4,0.3023858578397008,0.16985065607196112,0.003401300000405172
72,N,New_N_073.wav,10-6-4,0.30753764871140277,126x4,4x212,10,0.062067620297149975,0.4059746939956471,0.01210200000059558,6,0.2558436985441416,0.20981552446612878,0.004069099999469472,4,0.4586988549504971,0.11437293811626725,0.003524600000673672
73,N,New_N_074.wav,10-6-4,0.3237066848890838,126x4,4x212,10,0.0643044705687872,0.35949791316655777,0.010954199999105185,6,0.2796937536711618,0.16614834265336328,0.004843099999561673,4,0.41727629217289447,0.1487268995615908,0.0035454000026220456
74,N,New_N_075.wav,10-6-4,0.26121404973928763,126x4,4x212,10,0.06347271999401297,0.3344166349697868,0.01221090000035474,6,0.28393072527139634,0.18866269003420383,0.004081099999893922,4,0.4005135957614024,0.1688842368677079,0.003394999999727588
75,N,New_N_076.wav,10-6-4,0.2601995471150224,126x4,4x212,10,0.0662696029357538,0.33834948452215635,0.011672199998429278,6,0.24358754048544062,0.2066658972345915,0.004335900001024129,4,0.4313858097570714,0.20898711412281643,0.004011000000900822
76,N,New_N_077.wav,10-6-4,0.3112044812372754,126x4,4x212,10,0.05698522664488201,0.3878163632552614,0.011864600000990322,6,0.2855124320547608,0.19420411507518623,0.007434200000716373,4,0.4316934502978611,0.16860371040431651,0.005352800002583535
77,N,New_N_078.wav,10-6-4,0.24605928545941327,126x4,4x212,10,0.05727115048889569,0.39957005331335865,0.011728200002835365,6,0.24475842377824925,0.2692278998641195,0.004112300000997493,4,0.31511884572828763,0.2680258054828906,0.0033965000002353918
78,N,New_N_079.wav,10-6-4,0.26696725251092013,126x4,4x212,10,0.06709486585159533,0.377708464600015,0.01141500000085216,6,0.27604262669290286,0.22975765750998944,0.0040740000004007015,4,0.3258098983729717,0.18607563708409958,0.004446499999176012
79,N,New_N_080.wav,10-6-4,0.2148136824721686,126x4,4x212,10,0.06475593667748411,0.3679676449235797,0.011017099997843616,6,0.25491928241180917,0.20150876274520968,0.004854500002693385,4,0.4287927051888978,0.19699667310554902,0.0034316999990551267
80,N,New_N_081.wav,10-6-4,0.256946610011984,126x4,4x212,10,0.05368234809135887,0.3766190824861696,0.011846400000649737,6,0.2366934384129138,0.1873555104913164,0.004624799999874085,4,0.2669299373768648,0.15720513848942708,0.0034111999993911013
