indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
91,N,New_N_092.wav,14-9-5,3,0.3056029827131613,126x5,5x212,14,0.04504011160200076,0.4247259638457321,0.008243200005381368,9,0.20800189691004847,0.23531096182746392,0.004011600001831539,5,0.45004971994366155,0.2280064503445567,0.002166699996450916
92,N,New_N_093.wav,14-9-5,3,0.24227598223134247,126x5,5x212,14,0.050133729401389965,0.41587788350167604,0.008160299999872223,9,0.1948958716973369,0.20303739221045225,0.002724600002693478,5,0.40114465160542995,0.2165484288599108,0.002174200002627913
93,N,New_N_094.wav,14-9-5,3,0.27275172246014295,126x5,5x212,14,0.05712151812122028,0.3995980942334971,0.009168999997200444,9,0.23801977187872791,0.22493308827686775,0.003662600000097882,5,0.4322089952293253,0.2194833315062906,0.0021484999961103313
94,N,New_N_095.wav,14-9-5,3,0.29149423311745476,126x5,5x212,14,0.054201719054640066,0.3942052128578776,0.00874100000510225,9,0.24781429773384833,0.21013521450729508,0.0027449999979580753,5,0.46254622405116935,0.1817755385736645,0.0021747999999206513
95,N,New_N_096.wav,14-9-5,3,0.3077395476350074,126x5,5x212,14,0.04532004096722183,0.3388624023975101,0.008273200000985526,9,0.1995943170290696,0.174176620336579,0.002795499996864237,5,0.4879280461874569,0.15164500313574308,0.0022297000032267533
96,N,New_N_097.wav,14-9-5,3,0.23328408335568662,126x5,5x212,14,0.048201176549899326,0.38812279373297837,0.008122899998852517,9,0.19768020736328593,0.16219723174581724,0.0033038000037777238,5,0.44564918266325565,0.14790032955618607,0.002227099997980986
97,N,New_N_098.wav,14-9-5,3,0.2943972253139675,126x5,5x212,14,0.0523043748395163,0.33143137103326514,0.008508200000505894,9,0.22832918964773125,0.12602990970639272,0.003287100000306964,5,0.4323905944258379,0.126853894140569,0.0022404000046662986
98,N,New_N_099.wav,14-9-5,3,0.24477367716303752,126x5,5x212,14,0.04607744790604147,0.39157215496300507,0.007964399999764282,9,0.22575651957215337,0.19470545597067276,0.003042500000447035,5,0.44449282441079,0.17078254823717842,0.0022833000039099716
99,N,New_N_100.wav,14-9-5,3,0.2052120312711233,126x5,5x212,14,0.03634212648053114,0.41447125041141575,0.007934199995361269,9,0.1555354252136322,0.23348644154454354,0.0036935000025550835,5,0.41856124007477585,0.17765339054352364,0.002275400001963135
100,N,New_N_101.wav,14-9-5,3,0.24552706635867658,126x5,5x212,14,0.034876336203780715,0.4553387509799036,0.007778099999995902,9,0.1894225956984018,0.15918329012945087,0.0034254999991389923,5,0.5061942136299474,0.16260223395258425,0.0022510999988298863
101,N,New_N_102.wav,14-9-5,3,0.2418118643167506,126x5,5x212,14,0.05396847919301398,0.4369822235851276,0.00844179999694461,9,0.21905977907841295,0.14558101773638846,0.0034869999944930896,5,0.4773520397080734,0.10890486848373933,0.0026633000015863217
102,N,New_N_103.wav,14-9-5,3,0.26677870057289604,126x5,5x212,14,0.04097422074630258,0.4005540439026962,0.008043000001634937,9,0.22386286201784383,0.16021640909681756,0.00292059999628691,5,0.4570710662360318,0.15122472994434083,0.002235299994936213
