indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
86,SNR_0db,N,New_N_087.wav,10,DeepONMF_H1,1,0.30736168983443557,10x212,0.007056800066493452,10,0.30736168983443557,0.2827878876089465,0.006403999985195696
87,SNR_0db,N,New_N_088.wav,10,DeepONMF_H1,1,0.3060812666749857,10x212,0.0068391000386327505,10,0.3060812666749857,0.27046416594876177,0.006135800038464367
88,SNR_0db,N,New_N_089.wav,10,DeepONMF_H1,1,0.2999861227154765,10x212,0.008242399897426367,10,0.2999861227154765,0.2652193006982942,0.007592399953864515
89,SNR_0db,N,New_N_090.wav,10,DeepONMF_H1,1,0.3094383046891318,10x212,0.006556799984537065,10,0.3094383046891318,0.2252199344743584,0.006084699998609722
90,SNR_0db,N,New_N_091.wav,10,DeepONMF_H1,1,0.299647604149362,10x212,0.007325800019316375,10,0.299647604149362,0.2781155312953779,0.006718799937516451
91,SNR_0db,N,New_N_092.wav,10,DeepONMF_H1,1,0.3036538464092563,10x212,0.006790199899114668,10,0.3036538464092563,0.258891020548677,0.00621519994456321
92,SNR_0db,N,New_N_093.wav,10,DeepONMF_H1,1,0.3008440852461944,10x212,0.0076917000114917755,10,0.3008440852461944,0.2626445196156208,0.007074199966154993
93,SNR_0db,N,New_N_094.wav,10,DeepONMF_H1,1,0.30534285181025217,10x212,0.007270999951288104,10,0.30534285181025217,0.25015783878294295,0.006618799990974367
94,SNR_0db,N,New_N_095.wav,10,DeepONMF_H1,1,0.30474631110938594,10x212,0.008007499971427023,10,0.30474631110938594,0.24824319775657472,0.0071558000054210424
95,SNR_0db,N,New_N_096.wav,10,DeepONMF_H1,1,0.3053381920526632,10x212,0.00728370004799217,10,0.3053381920526632,0.22566333243288714,0.0066217000130563974
96,SNR_0db,N,New_N_097.wav,10,DeepONMF_H1,1,0.30357075728930183,10x212,0.007425200077705085,10,0.30357075728930183,0.32545277035348075,0.006646699970588088
97,SNR_0db,N,New_N_098.wav,10,DeepONMF_H1,1,0.3109336244162077,10x212,0.007916999980807304,10,0.3109336244162077,0.223008232352759,0.00704380008392036
98,SNR_0db,N,New_N_099.wav,10,DeepONMF_H1,1,0.3039818198935761,10x212,0.00725400005467236,10,0.3039818198935761,0.25425364600808126,0.006592499907128513
99,SNR_0db,N,New_N_100.wav,10,DeepONMF_H1,1,0.3085401073079758,10x212,0.007960999966599047,10,0.3085401073079758,0.2614233425032578,0.00739180005621165
100,SNR_0db,N,New_N_101.wav,10,DeepONMF_H1,1,0.3056932379375286,10x212,0.007376200053840876,10,0.3056932379375286,0.20327430558182538,0.00669539999216795
101,SNR_0db,N,New_N_102.wav,10,DeepONMF_H1,1,0.2987155194090572,10x212,0.008281200076453388,10,0.2987155194090572,0.2560152439969122,0.007554900017566979
102,SNR_0db,N,New_N_103.wav,10,DeepONMF_H1,1,0.3010892268051942,10x212,0.007674199994653463,10,0.3010892268051942,0.24941783003386778,0.006991900037974119
