distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
10-9-7-5-3,5,SVM,DeepONMF_W,0.9016,0.008414273587185,0.7539999999999999,0.0210356839679625,0.9385,0.0052589209919907,0.7719968598453106,0.0288785227916205,0.8462500000000001,0.0131473024799766
10-9-7-5-3,5,UjaNet,DeepONMF_H5,0.9712,0.0072938330115241,0.928,0.0182345825288104,0.982,0.0045586456322026,0.9292509030539898,0.018085506633214,0.955,0.0113966140805065
10-9-7-5-3,5,UjaNet,DeepONMF_W,0.9452,0.0130076900332072,0.8630000000000001,0.0325192250830181,0.96575,0.0081298062707545,0.8680370734696167,0.031755872830521,0.914375,0.0203245156768863
11-10,2,KNN,DeepONMF_H2,0.904,0.0125698050899765,0.76,0.0314245127249413,0.94,0.0078561281812353,0.8034915191554873,0.0153581903746864,0.85,0.0196403204530883
11-10,2,KNN,DeepONMF_W,0.7868,0.0152052622469985,0.4669999999999999,0.0380131556174964,0.86675,0.009503288904374,0.4836498093615073,0.0512634491393316,0.666875,0.0237582222609352
11-10,2,SVM,DeepONMF_H2,0.954,0.010295630140987,0.885,0.0257390753524675,0.97125,0.0064347688381168,0.8877831787423988,0.0279888166745438,0.928125,0.0160869220952921
11-10,2,SVM,DeepONMF_W,0.8668000000000001,0.0100598210719673,0.667,0.0251495526799185,0.91675,0.0062873881699796,0.6598985435247707,0.0289727506899763,0.791875,0.0157184704249491
11-10,2,UjaNet,DeepONMF_H2,0.9796,0.0079246451024635,0.949,0.0198116127561589,0.98725,0.0049529031890397,0.9512789496768884,0.01686629036714,0.968125,0.0123822579725993
11-10,2,UjaNet,DeepONMF_W,0.932,0.0131909059582729,0.8300000000000001,0.0329772648956823,0.9575,0.0082443162239205,0.841495573845461,0.0260781234427095,0.89375,0.0206107905598014
11-3,2,KNN,DeepONMF_H2,0.9424,0.0047749345545253,0.8560000000000001,0.0119373363863132,0.964,0.0029843340965782,0.8629733993885491,0.0158999007131802,0.91,0.0074608352414458
11-3,2,KNN,DeepONMF_W,0.8676,0.0086486993241758,0.6689999999999999,0.0216217483104396,0.91725,0.0054054370776098,0.6996657105528995,0.0193131908928881,0.7931250000000001,0.0135135926940246
11-3,2,SVM,DeepONMF_H2,0.9624,0.0079246451024635,0.906,0.0198116127561589,0.9765,0.0049529031890397,0.9067477583329748,0.0208722060945404,0.94125,0.0123822579725993
11-3,2,SVM,DeepONMF_W,0.8995999999999998,0.0151921032118663,0.7489999999999999,0.0379802580296658,0.93725,0.0094950645074164,0.7585211189080943,0.0337348505779085,0.843125,0.0237376612685411
11-3,2,UjaNet,DeepONMF_H2,0.9776,0.0098386991009991,0.944,0.0245967477524976,0.986,0.0061491869381244,0.9452267655389128,0.0249749192646126,0.965,0.015372967345311
11-3,2,UjaNet,DeepONMF_W,0.9408,0.0103537432844358,0.852,0.0258843582110895,0.963,0.0064710895527723,0.8562966136111493,0.0262386355918655,0.9075,0.0161777238819309
11-4,2,KNN,DeepONMF_H2,0.9372,0.0087863530545955,0.843,0.0219658826364887,0.96075,0.0054914706591222,0.8491256583729211,0.0207417343753351,0.901875,0.0137286766478054
11-4,2,KNN,DeepONMF_W,0.8404,0.0097365291557105,0.601,0.0243413228892761,0.90025,0.006085330722319,0.6378359620912332,0.0309430000867307,0.7506250000000001,0.0152133268057976
11-4,2,SVM,DeepONMF_H2,0.9624,0.0087635609200826,0.906,0.0219089023002066,0.9765,0.0054772255750516,0.907742396716506,0.022585757200386,0.94125,0.0136930639376291
11-4,2,SVM,DeepONMF_W,0.8960000000000001,0.0063245553203367,0.74,0.0158113883008419,0.9350000000000002,0.0039528470752104,0.7438931238734295,0.0187419799754989,0.8375,0.0098821176880261
11-4,2,UjaNet,DeepONMF_H2,0.9732,0.006572670690062,0.933,0.0164316767251549,0.98325,0.0041079191812887,0.9357121848837252,0.0161059790518267,0.958125,0.0102697979532218
11-4,2,UjaNet,DeepONMF_W,0.9448,0.009011104260855,0.8620000000000001,0.0225277606521376,0.9655,0.0056319401630343,0.8674997973892001,0.0195968306994696,0.91375,0.014079850407586
11-5,2,KNN,DeepONMF_H2,0.9312,0.0036331804249169,0.828,0.0090829510622925,0.957,0.002270737765573,0.8371465975428942,0.0077342363283208,0.8924999999999998,0.0056768444139328
11-5,2,KNN,DeepONMF_W,0.8276,0.008414273587185,0.569,0.0210356839679626,0.89225,0.0052589209919906,0.599862969119456,0.0255909206523839,0.7306250000000001,0.0131473024799766
11-5,2,SVM,DeepONMF_H2,0.9576,0.005899152481501,0.8939999999999999,0.0147478812037526,0.9735,0.0036869703009381,0.8949193953171879,0.0159473429884848,0.93375,0.0092174257523453
11-5,2,SVM,DeepONMF_W,0.8824,0.0117813411800185,0.706,0.0294533529500462,0.9265,0.0073633382375115,0.7161439603550852,0.0415757113543394,0.8162499999999999,0.0184083455937788
11-5,2,UjaNet,DeepONMF_H2,0.9716,0.0095289033996572,0.929,0.0238222584991431,0.98225,0.0059555646247858,0.9302764457291016,0.0229774445514022,0.955625,0.0148889115619644
