indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
258,SNR_-5db,NMF,7,1,0.0,True,0.380295331747826,7x212,126x7,0.027313699945807457
259,SNR_-5db,NMF,7,1,0.0,True,0.379014426440507,7x212,126x7,0.03316099988296628
260,SNR_-5db,NMF,7,1,0.0,True,0.38666680629704464,7x212,126x7,0.03125849994830787
261,SNR_-5db,NMF,7,1,0.0,True,0.37011910554320093,7x212,126x7,0.027655899990350008
262,SNR_-5db,NMF,7,1,0.0,True,0.37163802226075726,7x212,126x7,0.028036100091412663
263,SNR_-5db,NMF,7,1,0.0,True,0.38377624591183035,7x212,126x7,0.02722429996356368
264,SNR_-5db,NMF,7,1,0.0,True,0.37118660610654236,7x212,126x7,0.05032250005751848
265,SNR_-5db,NMF,7,1,0.0,True,0.3749105501628683,7x212,126x7,0.027536700014024973
266,SNR_-5db,NMF,7,1,0.0,True,0.38204839669349827,7x212,126x7,0.03215499990619719
267,SNR_-5db,NMF,7,1,0.0,True,0.3745979058209375,7x212,126x7,0.03172720014117658
268,SNR_-5db,NMF,7,1,0.0,True,0.3761335713857122,7x212,126x7,0.031779699958860874
269,SNR_-5db,NMF,7,1,0.0,True,0.3777046443698348,7x212,126x7,0.026320199947804213
270,SNR_-5db,NMF,7,1,0.0,True,0.37803650005463046,7x212,126x7,0.03149720001965761
271,SNR_-5db,NMF,7,1,0.0,True,0.37409792649211804,7x212,126x7,0.026899399934336543
272,SNR_-5db,NMF,7,1,0.0,True,0.37195321620016547,7x212,126x7,0.028438299894332886
273,SNR_-5db,NMF,7,1,0.0,True,0.38295593202658473,7x212,126x7,0.030856400029733777
