indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
192,original,ONMF,22-15-10,3,0.05,0.1856528448036099,10x212,126x10,0.031072700046934187
193,original,ONMF,22-15-10,3,0.05,0.20154297012682135,10x212,126x10,0.03298449993599206
194,original,ONMF,22-15-10,3,0.05,0.1965493618679798,10x212,126x10,0.030506599927321076
195,original,ONMF,22-15-10,3,0.05,0.20126474606613082,10x212,126x10,0.02936359995510429
196,original,ONMF,22-15-10,3,0.05,0.2219717404695701,10x212,126x10,0.03264890005812049
197,original,ONMF,22-15-10,3,0.05,0.19523807127520768,10x212,126x10,0.03187130007427186
198,original,ONMF,22-15-10,3,0.05,0.2065971685856121,10x212,126x10,0.03191270004026592
199,original,ONMF,22-15-10,3,0.05,0.19771049170729477,10x212,126x10,0.032305800006724894
200,original,ONMF,22-15-10,3,0.05,0.2099452204828774,10x212,126x10,0.03378779999911785
201,original,ONMF,22-15-10,3,0.05,0.20754348227044978,10x212,126x10,0.03260100004263222
202,original,ONMF,22-15-10,3,0.05,0.2085683845244731,10x212,126x10,0.03140269999857992
203,original,ONMF,22-15-10,3,0.05,0.20130743020148806,10x212,126x10,0.03361230005975813
204,original,ONMF,22-15-10,3,0.05,0.19680107895945775,10x212,126x10,0.031206300016492605
205,original,ONMF,22-15-10,3,0.05,0.21941616423678315,10x212,126x10,0.03267319989390671
206,original,ONMF,22-15-10,3,0.05,0.20766315217081371,10x212,126x10,0.03161419997923076
207,original,ONMF,22-15-10,3,0.05,0.21324988627276498,10x212,126x10,0.030739799956791103
208,original,ONMF,22-15-10,3,0.05,0.203696029795348,10x212,126x10,0.030858199927024543
209,original,ONMF,22-15-10,3,0.05,0.21363329371013418,10x212,126x10,0.032616600045003
210,original,ONMF,22-15-10,3,0.05,0.2113919030203169,10x212,126x10,0.031670100055634975
211,original,ONMF,22-15-10,3,0.05,0.21081916372344184,10x212,126x10,0.032231499906629324
212,original,ONMF,22-15-10,3,0.05,0.2043454892708873,10x212,126x10,0.03421870002057403
213,original,ONMF,22-15-10,3,0.05,0.21377706030556778,10x212,126x10,0.03349879989400506
214,original,ONMF,22-15-10,3,0.05,0.21465496929711628,10x212,126x10,0.03272300004027784
215,original,ONMF,22-15-10,3,0.05,0.20030738284931077,10x212,126x10,0.03515240002889186
216,original,ONMF,22-15-10,3,0.05,0.2056388676390362,10x212,126x10,0.03215580002870411
217,original,ONMF,22-15-10,3,0.05,0.21342270807411096,10x212,126x10,0.03227399999741465
218,original,ONMF,22-15-10,3,0.05,0.2120422412641466,10x212,126x10,0.03226530004758388
219,original,ONMF,22-15-10,3,0.05,0.20406242981448924,10x212,126x10,0.03248130006249994
220,original,ONMF,22-15-10,3,0.05,0.19979785507252784,10x212,126x10,0.030568799935281277
221,original,ONMF,22-15-10,3,0.05,0.2025180762066023,10x212,126x10,0.032543899957090616
222,original,ONMF,22-15-10,3,0.05,0.20633725511762196,10x212,126x10,0.02925279992632568
223,original,ONMF,22-15-10,3,0.05,0.20927322382274527,10x212,126x10,0.030236199963837862
224,original,ONMF,22-15-10,3,0.05,0.21377436282027334,10x212,126x10,0.031003299984149635
225,original,ONMF,22-15-10,3,0.05,0.21522965887385584,10x212,126x10,0.03244169999379665
226,original,ONMF,22-15-10,3,0.05,0.20680418018475694,10x212,126x10,0.0324765999102965
227,original,ONMF,22-15-10,3,0.05,0.21364039666375925,10x212,126x10,0.03339580004103482
228,original,ONMF,22-15-10,3,0.05,0.20954543811823703,10x212,126x10,0.03152610000688583
229,original,ONMF,22-15-10,3,0.05,0.20649822281804248,10x212,126x10,0.032495299936272204
230,original,ONMF,22-15-10,3,0.05,0.21754526313773445,10x212,126x10,0.030912599992007017
231,original,ONMF,22-15-10,3,0.05,0.20732431257619421,10x212,126x10,0.03069589997176081
232,original,ONMF,22-15-10,3,0.05,0.2050429558399417,10x212,126x10,0.03447589999996126
233,original,ONMF,22-15-10,3,0.05,0.2092566837517885,10x212,126x10,0.03274809999857098
234,original,ONMF,22-15-10,3,0.05,0.2146830909318355,10x212,126x10,0.030476200045086443
235,original,ONMF,22-15-10,3,0.05,0.2072628341152497,10x212,126x10,0.032771100057289004
236,original,ONMF,22-15-10,3,0.05,0.2088228502331132,10x212,126x10,0.03317569999489933
237,original,ONMF,22-15-10,3,0.05,0.20006679464506222,10x212,126x10,0.03118920000270009
238,original,ONMF,22-15-10,3,0.05,0.20668527192358757,10x212,126x10,0.03270069998688996
239,original,ONMF,22-15-10,3,0.05,0.20663074902678333,10x212,126x10,0.034331300063058734
240,original,ONMF,22-15-10,3,0.05,0.20472017706121276,10x212,126x10,0.03219410008750856
241,original,ONMF,22-15-10,3,0.05,0.20421130571969082,10x212,126x10,0.03160730004310608
242,original,ONMF,22-15-10,3,0.05,0.20377126323229827,10x212,126x10,0.03240680007729679
243,original,ONMF,22-15-10,3,0.05,0.19877790409606033,10x212,126x10,0.03203349991235882
244,original,ONMF,22-15-10,3,0.05,0.20639528507309943,10x212,126x10,0.02972099999897182
245,original,ONMF,22-15-10,3,0.05,0.20152696138394335,10x212,126x10,0.033847799990326166
