indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
197,2-7-24,3,0.26255811914240984,24x212,0.02170430001569912,2,0.23535731663724763,0.13926994640379936,7,0.03568700325129093,0.17925369258652762,24,0.041181769419641634,0.15428808319269144
198,2-7-24,3,0.23332876330476512,24x212,0.030589799978770316,2,0.20282231684191857,0.27193014713934166,7,0.04341364704756544,0.20793102577650746,24,0.035666143601135354,0.20135138981804773
199,2-7-24,3,0.21554841339769532,24x212,0.023146099993027747,2,0.17947504489312138,0.2563570759953622,7,0.04625325700158996,0.16760830899432322,24,0.03389376618860597,0.21909995573631189
200,2-7-24,3,0.2870305779808884,24x212,0.02336180000565946,2,0.25822720752156286,0.17410702956547375,7,0.04417550535574297,0.13561472246424536,24,0.03829009457620976,0.1266205402881406
201,2-7-24,3,0.30704146801143545,24x212,0.02161349999369122,2,0.2828328679282039,0.20088082627515969,7,0.040978688633650784,0.14483808463067321,24,0.04081791118810145,0.17043981555946117
202,2-7-24,3,0.2551397371337135,24x212,0.02783169999020174,2,0.22476269442663793,0.31608952821610614,7,0.045205404054166835,0.2223352159921936,24,0.036643548809262044,0.17171152915366872
203,2-7-24,3,0.25119176974372875,24x212,0.022396999993361533,2,0.21820460883746995,0.30121173678018964,7,0.04360240466074518,0.2154544907073379,24,0.04135380207532637,0.13600370417945984
204,2-7-24,3,0.3070228872748175,24x212,0.032809600001201034,2,0.2836408944013727,0.2329975088078843,7,0.04091489553251533,0.18053612900164706,24,0.04027638494430334,0.10775120155065293
205,2-7-24,3,0.2632093050394243,24x212,0.02212320000398904,2,0.23114515334252547,0.3409754849929077,7,0.044013491134943045,0.16389978469342031,24,0.04004379111270246,0.13059330162043087
206,2-7-24,3,0.2713037145595341,24x212,0.022216999990632758,2,0.24107308179909123,0.2716733405958698,7,0.039226584856606905,0.1789658152361952,24,0.044095279689661274,0.11491271486620548
207,2-7-24,3,0.2591161672059832,24x212,0.0427145000139717,2,0.22660789827436598,0.2411995841110824,7,0.04347567114643156,0.13727558027827888,24,0.04015016878847813,0.08679944045103194
208,2-7-24,3,0.3651683976406195,24x212,0.03172269999049604,2,0.3456079714610458,0.12674234822621744,7,0.04386745484079879,0.10631231417273816,24,0.035256540598443784,0.11274280078028857
209,2-7-24,3,0.2565985736836462,24x212,0.02686160002485849,2,0.22313524408669716,0.3965835040195651,7,0.041113388583743415,0.1636465039780473,24,0.042814039150481514,0.14465345963300805
210,2-7-24,3,0.2726321483008824,24x212,0.02678879999439232,2,0.24228695202638698,0.22073941405877479,7,0.04110663352892462,0.15496887916187463,24,0.04110852824884715,0.19116854282177015
211,2-7-24,3,0.2825680665127712,24x212,0.025518299982650205,2,0.25090081596640357,0.16947249501700576,7,0.0410061811036754,0.1084775075924903,24,0.04536452795148674,0.10423060192093046
212,2-7-24,3,0.2533936931646884,24x212,0.029147299996111542,2,0.22094597587442139,0.3336656666185758,7,0.041596740602041084,0.1713592905402801,24,0.040166399024864415,0.1821029802246286
