indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
548,SNR_5db,MR,New_MR_149.wav,30-13-6,DeepONMF_H3,3,0.3883655809226707,6x212,0.023914200020954013,30,0.19904197698788145,0.23605727034068377,0.016125999973155558,13,0.41023399936967675,0.12821050798724107,0.004233999992720783,6,0.5662091067458175,0.15237048114048563,0.0025774999521672726
549,SNR_5db,MR,New_MR_150.wav,30-13-6,DeepONMF_H3,3,0.49908056533093986,6x212,0.025406199973076582,30,0.19854084192430527,0.23277630239160274,0.017151699983514845,13,0.357468733740438,0.12776231730806167,0.004658500081859529,6,0.5599583159620549,0.11969760248537263,0.0026766000082716346
550,SNR_5db,MR,New_MR_151.wav,30-13-6,DeepONMF_H3,3,0.42618821387532374,6x212,0.02487139997538179,30,0.19364617841364365,0.24058497280496105,0.016688299947418272,13,0.384821258739189,0.1573608886949617,0.004224800039082766,6,0.5020671298920323,0.14329559635905703,0.002595399972051382
551,SNR_5db,MR,New_MR_152.wav,30-13-6,DeepONMF_H3,3,0.40462642486177497,6x212,0.025238499976694584,30,0.1961147194412017,0.25116418696766657,0.016949999961070716,13,0.371883865268351,0.13417714605486716,0.004753099987283349,6,0.5023236882146553,0.12841223117402595,0.002733199973590672
552,SNR_5db,MR,New_MR_153.wav,30-13-6,DeepONMF_H3,3,0.43769867764011794,6x212,0.024817799916490912,30,0.19357509937833167,0.2336795831587575,0.016466300003230572,13,0.3805187164941067,0.1478313794650345,0.004817000008188188,6,0.5436034952391889,0.1274315617212801,0.0028002000181004405
553,SNR_5db,MR,New_MR_154.wav,30-13-6,DeepONMF_H3,3,0.4441465678217269,6x212,0.02774459996726364,30,0.1993588663371523,0.24997509717531916,0.019286199938505888,13,0.4327962267590232,0.12002630540077977,0.0046931999968364835,6,0.5371167577538996,0.11934980937956338,0.0028153000166639686
554,SNR_5db,MR,New_MR_155.wav,30-13-6,DeepONMF_H3,3,0.4545659879239042,6x212,0.025131799979135394,30,0.1934967243891997,0.23548672030256415,0.0170729000819847,13,0.38587261068754924,0.12249532700344809,0.004195899935439229,6,0.5672225012054602,0.11983491435115055,0.0030115999979898334
555,SNR_5db,MR,New_MR_156.wav,30-13-6,DeepONMF_H3,3,0.4159466064470066,6x212,0.025349800009280443,30,0.19303069452084212,0.2531259261575734,0.01734080002643168,13,0.335577993781823,0.13464084997517717,0.0042897999519482255,6,0.5334660475151918,0.13364670881870117,0.002642699982970953
556,SNR_5db,MR,New_MR_157.wav,30-13-6,DeepONMF_H3,3,0.41948470879214034,6x212,0.023925899993628263,30,0.19234220319056758,0.2258945260521093,0.015977000002749264,13,0.3691061634035838,0.14550836945525297,0.004262099973857403,6,0.5579989131872567,0.13042424971395616,0.00272320001386106
557,SNR_5db,MR,New_MR_158.wav,30-13-6,DeepONMF_H3,3,0.4128673532638313,6x212,0.024130100035108626,30,0.19578732106678026,0.2557023214696746,0.016123600071296096,13,0.37863155061515935,0.1313983407251722,0.004509199992753565,6,0.5314724455124283,0.12892788398112853,0.0026483999099582434
558,SNR_5db,MR,New_MR_159.wav,30-13-6,DeepONMF_H3,3,0.4273365673524555,6x212,0.02438279998023063,30,0.2017321308739001,0.2512274887089908,0.01626940001733601,13,0.34035786109575705,0.12675469952023968,0.004682500031776726,6,0.48115304819772353,0.11881489413438832,0.0026835999451577663
559,SNR_5db,MR,New_MR_160.wav,30-13-6,DeepONMF_H3,3,0.39075376170123766,6x212,0.024896999937482178,30,0.19441803465485688,0.26363582843932903,0.01669769990257919,13,0.40754720843212733,0.14297939464208065,0.004680399899370968,6,0.5409854293807389,0.1602470976754492,0.0026561999693512917
560,SNR_5db,MR,New_MR_161.wav,30-13-6,DeepONMF_H3,3,0.4234155682040692,6x212,0.023592800018377602,30,0.19551926298830513,0.26105646698446977,0.015676399925723672,13,0.3990782091651782,0.1467510006353474,0.004165199934504926,6,0.47536162662707215,0.11576330164933618,0.0025776999536901712
561,SNR_5db,MR,New_MR_162.wav,30-13-6,DeepONMF_H3,3,0.445676066872664,6x212,0.025792100001126528,30,0.19694255208721118,0.2253002898436353,0.0168474999954924,13,0.4144039543670985,0.13132293911065743,0.005306600010953844,6,0.5751576735438481,0.12123841207728692,0.0027254000306129456
562,SNR_5db,MR,New_MR_163.wav,30-13-6,DeepONMF_H3,3,0.40504199575218736,6x212,0.023420800105668604,30,0.19321394407721462,0.23630435634099284,0.015717200003564358,13,0.3837803976150731,0.12881145980373027,0.004266900010406971,6,0.5507520677202805,0.141165328276748,0.0026214999379590154
563,SNR_5db,MR,New_MR_164.wav,30-13-6,DeepONMF_H3,3,0.4143297919014986,6x212,0.023857199936173856,30,0.1947619856022312,0.24743530946950731,0.015662600053474307,13,0.38674325468824333,0.14610211734688328,0.004597999970428646,6,0.5272163708537573,0.13418729743587676,0.0028174000326544046
564,SNR_5db,MR,New_MR_165.wav,30-13-6,DeepONMF_H3,3,0.41025718703126335,6x212,0.02404209994710982,30,0.19331856399129244,0.24867135486403044,0.016230499953962862,13,0.36866600949717165,0.12328307724919313,0.004280199995264411,6,0.5126427081502326,0.09585248241805372,0.002625499968416989
565,SNR_5db,MR,New_MR_166.wav,30-13-6,DeepONMF_H3,3,0.3957230429710065,6x212,0.02347889996599406,30,0.1924193877292296,0.23393732527477057,0.015113299945369363,13,0.41368906063437594,0.15491885105438286,0.004138799966312945,6,0.5776209451436667,0.14028387187834865,0.003387899952940643
566,SNR_5db,MR,New_MR_167.wav,30-13-6,DeepONMF_H3,3,0.48226853745402104,6x212,0.023385300068184733,30,0.19988452661502257,0.24876635805738845,0.01528559997677803,13,0.3433588154049597,0.12516525226026795,0.00450280006043613,6,0.48851699951996586,0.10305915447991362,0.0026396000757813454
567,SNR_5db,MR,New_MR_168.wav,30-13-6,DeepONMF_H3,3,0.42287308326520173,6x212,0.024174599908292294,30,0.19269190652026516,0.2608055420641839,0.016151099931448698,13,0.3965281930339904,0.16470097874743,0.00419300002977252,6,0.5450923379399031,0.1667736513512023,0.0025827999925240874
568,SNR_5db,MR,New_MR_169.wav,30-13-6,DeepONMF_H3,3,0.430898450517228,6x212,0.025238299975171685,30,0.20033221079632113,0.22786198708022073,0.016401699976995587,13,0.3858261643728739,0.148061095579314,0.005093100015074015,6,0.5055788841030474,0.15300468267446007,0.002711700042709708
