indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
277,SNR_-8db,AS,New_AS_078.wav,28-10,DeepONMF_H2,2,0.40814739161556635,10x212,0.019227499957196414,28,0.3157456763745733,0.2788609903790764,0.013771699974313378,10,0.5900955173354924,0.261852245993684,0.004648600006476045
278,SNR_-8db,AS,New_AS_079.wav,28-10,DeepONMF_H2,2,0.4128609812148338,10x212,0.019375900039449334,28,0.318415654050473,0.2730928713399385,0.0147685999982059,10,0.6016714477224834,0.22955804547196096,0.003752100048586726
279,SNR_-8db,AS,New_AS_080.wav,28-10,DeepONMF_H2,2,0.40804480472199106,10x212,0.019881400046870112,28,0.3179889726407463,0.2765445708840775,0.015192000078968704,10,0.57015580897815,0.234110880699336,0.00370560004375875
280,SNR_-8db,AS,New_AS_081.wav,28-10,DeepONMF_H2,2,0.4101450121802447,10x212,0.02140329999383539,28,0.3211947814045639,0.27889049169246266,0.01664279995020479,10,0.5818416868435666,0.24892815942077348,0.0036439000396057963
281,SNR_-8db,AS,New_AS_082.wav,28-10,DeepONMF_H2,2,0.4055138763333741,10x212,0.021110999980010092,28,0.32030852481654115,0.2805500034989507,0.01617139996960759,10,0.5709692282144636,0.24736468065448064,0.003964999923482537
282,SNR_-8db,AS,New_AS_083.wav,28-10,DeepONMF_H2,2,0.4077624418811749,10x212,0.019639700069092214,28,0.3195252530607073,0.2814569968588572,0.014532799948938191,10,0.5740483506987107,0.2478818192435437,0.004236699896864593
283,SNR_-8db,AS,New_AS_084.wav,28-10,DeepONMF_H2,2,0.40730687418559564,10x212,0.020177399972453713,28,0.3189310909040523,0.2756581234477419,0.015465499949641526,10,0.5857451303492569,0.24556930662576168,0.0038218999980017543
284,SNR_-8db,AS,New_AS_085.wav,28-10,DeepONMF_H2,2,0.4054170583884789,10x212,0.020081199938431382,28,0.3147899251789656,0.28364302605269687,0.015595100005157292,10,0.5704148686108841,0.24598210529287998,0.0035697000566869974
285,SNR_-8db,AS,New_AS_086.wav,28-10,DeepONMF_H2,2,0.40913509147997656,10x212,0.02050250000320375,28,0.31432767966284997,0.2867575696659604,0.015518900007009506,10,0.5854945431999885,0.26294669826335243,0.004128000000491738
286,SNR_-8db,AS,New_AS_087.wav,28-10,DeepONMF_H2,2,0.4116190873164805,10x212,0.021764000062830746,28,0.3228039831363434,0.26096795907234577,0.01670949999243021,10,0.5924593923677236,0.2168426407109438,0.004009599913842976
287,SNR_-8db,AS,New_AS_088.wav,28-10,DeepONMF_H2,2,0.40705659298329205,10x212,0.01954380003735423,28,0.3165012197466459,0.2787958457007195,0.01475089997984469,10,0.5855712930733837,0.23919386752919403,0.0038200999842956662
288,SNR_-8db,AS,New_AS_089.wav,28-10,DeepONMF_H2,2,0.4074182724268072,10x212,0.021761400043033063,28,0.31887367719139986,0.2734019570397968,0.017100100056268275,10,0.5977121354897782,0.23042789503924171,0.003667999990284443
289,SNR_-8db,AS,New_AS_090.wav,28-10,DeepONMF_H2,2,0.40736535752049907,10x212,0.020116899977438152,28,0.32237501592367845,0.2879415731435653,0.015278700040653348,10,0.5500232346961995,0.23965811974554146,0.0037831999361515045
290,SNR_-8db,AS,New_AS_091.wav,28-10,DeepONMF_H2,2,0.4042959290459852,10x212,0.021808400051668286,28,0.3176800871722652,0.27055979743474723,0.01628450001589954,10,0.591101078907013,0.23725207493338044,0.004100300022400916
291,SNR_-8db,AS,New_AS_092.wav,28-10,DeepONMF_H2,2,0.40786752308506175,10x212,0.02053059998434037,28,0.3170519740910543,0.27568458598704787,0.015769700054079294,10,0.5993586185621472,0.25635797476835825,0.0036893999204039574
292,SNR_-8db,AS,New_AS_093.wav,28-10,DeepONMF_H2,2,0.4150527700014549,10x212,0.019792600069195032,28,0.32212044318643723,0.26269716192841064,0.015244400012306869,10,0.5964153386143363,0.2124166654351631,0.0036087000044062734
293,SNR_-8db,AS,New_AS_094.wav,28-10,DeepONMF_H2,2,0.4064102951898023,10x212,0.021828300086781383,28,0.31594585289949956,0.2833307504084196,0.017389899934642017,10,0.5817285251105335,0.2612650078065303,0.003576999995857477
294,SNR_-8db,AS,New_AS_095.wav,28-10,DeepONMF_H2,2,0.4054840309173191,10x212,0.02169810002669692,28,0.32059034912357076,0.28272395802048034,0.016377999912947416,10,0.5686673096684871,0.2554217400639791,0.0044837999157607555
295,SNR_-8db,AS,New_AS_096.wav,28-10,DeepONMF_H2,2,0.40347187763314024,10x212,0.022478600032627583,28,0.31840074642553784,0.26989061184864005,0.01798100001178682,10,0.5856604916694468,0.24871073715919437,0.003754399949684739
296,SNR_-8db,AS,New_AS_097.wav,28-10,DeepONMF_H2,2,0.4076790207748183,10x212,0.020418500062078238,28,0.3147069653492081,0.2801056758813714,0.0157302999868989,10,0.5752164627015942,0.22118250631145225,0.003963399911299348
297,SNR_-8db,AS,New_AS_098.wav,28-10,DeepONMF_H2,2,0.4045306777600401,10x212,0.02222379995509982,28,0.3147800026681126,0.282253352122874,0.01724590000230819,10,0.5643887664760823,0.25651378133027575,0.004262799979187548
298,SNR_-8db,AS,New_AS_099.wav,28-10,DeepONMF_H2,2,0.4053465044101144,10x212,0.018857300048694015,28,0.31753340320403095,0.28467000945004217,0.013704299926757812,10,0.5633996073892569,0.2537908968428578,0.004283799906261265
