indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
202,SNR_8db,ONMF,7,1,0.05,False,0.196461194728424,7x212,126x7,0.030224299989640713
203,SNR_8db,ONMF,7,1,0.05,False,0.1958388610637178,7x212,126x7,0.029354099882766604
204,SNR_8db,ONMF,7,1,0.05,False,0.1944720571807832,7x212,126x7,0.03217640006914735
205,SNR_8db,ONMF,7,1,0.05,False,0.20582918316786383,7x212,126x7,0.024397699860855937
206,SNR_8db,ONMF,7,1,0.05,False,0.20061168329594498,7x212,126x7,0.024691700004041195
207,SNR_8db,ONMF,7,1,0.05,False,0.1993411389675902,7x212,126x7,0.022712599951773882
208,SNR_8db,ONMF,7,1,0.05,False,0.19361883779790895,7x212,126x7,0.02285509998910129
209,SNR_8db,ONMF,7,1,0.05,False,0.20664634219105174,7x212,126x7,0.024401600006967783
210,SNR_8db,ONMF,7,1,0.05,False,0.2028004079789087,7x212,126x7,0.023714100010693073
211,SNR_8db,ONMF,7,1,0.05,False,0.2049003302497696,7x212,126x7,0.0276030998211354
212,SNR_8db,ONMF,7,1,0.05,False,0.20650453776321703,7x212,126x7,0.025356000056490302
213,SNR_8db,ONMF,7,1,0.05,False,0.19597747865716475,7x212,126x7,0.02476090006530285
214,SNR_8db,ONMF,7,1,0.05,False,0.19726223780344274,7x212,126x7,0.02375150006264448
215,SNR_8db,ONMF,7,1,0.05,False,0.20803635922905528,7x212,126x7,0.02480929996818304
216,SNR_8db,ONMF,7,1,0.05,False,0.1970766039642035,7x212,126x7,0.024683599825948477
217,SNR_8db,ONMF,7,1,0.05,False,0.20970404408974797,7x212,126x7,0.02402809984050691
218,SNR_8db,ONMF,7,1,0.05,False,0.20490364970426736,7x212,126x7,0.022663600044324994
219,SNR_8db,ONMF,7,1,0.05,False,0.1938574778545765,7x212,126x7,0.02521530003286898
220,SNR_8db,ONMF,7,1,0.05,False,0.20025819078566937,7x212,126x7,0.02386280009523034
221,SNR_8db,ONMF,7,1,0.05,False,0.1979796160966166,7x212,126x7,0.024123499868437648
222,SNR_8db,ONMF,7,1,0.05,False,0.2076786044969038,7x212,126x7,0.02306269994005561
223,SNR_8db,ONMF,7,1,0.05,False,0.20102324476572805,7x212,126x7,0.023914899909868836
224,SNR_8db,ONMF,7,1,0.05,False,0.20474200069281295,7x212,126x7,0.02445959998294711
225,SNR_8db,ONMF,7,1,0.05,False,0.19181506189502015,7x212,126x7,0.02371169999241829
226,SNR_8db,ONMF,7,1,0.05,False,0.19483437815000054,7x212,126x7,0.02572649996727705
227,SNR_8db,ONMF,7,1,0.05,False,0.2064112289783309,7x212,126x7,0.023524199845269322
228,SNR_8db,ONMF,7,1,0.05,False,0.19973141624806912,7x212,126x7,0.028435999993234873
229,SNR_8db,ONMF,7,1,0.05,False,0.1965456469659114,7x212,126x7,0.024904200108721852
230,SNR_8db,ONMF,7,1,0.05,False,0.2031885692906523,7x212,126x7,0.024501499952748418
231,SNR_8db,ONMF,7,1,0.05,False,0.19063738430511504,7x212,126x7,0.023752799956128
232,SNR_8db,ONMF,7,1,0.05,False,0.19557594425729857,7x212,126x7,0.025470900116488338
